Geography,fips_code,tract,TotalPop,Drove,Percent_Drove,Transit,Percent_Transit,Bike,Percent_Bike,Walk,Percent_Walk,WFH,Percent_WFH
"Census Tract 1210.10, Los Angeles County, California",6037121010,121010,2096,1943,92.70,57.00,2.72,0.00,0.00,28.00,1.34,35.00,1.67
"Census Tract 1210.20, Los Angeles County, California",6037121020,121020,1814,1492,82.25,166.00,9.15,33.00,1.82,4.00,0.22,58.00,3.20
"Census Tract 1211.01, Los Angeles County, California",6037121101,121101,1449,1230,84.89,85.00,5.87,0.00,0.00,42.00,2.90,78.00,5.38
"Census Tract 1211.02, Los Angeles County, California",6037121102,121102,1167,936,80.21,96.00,8.23,0.00,0.00,7.00,0.60,113.00,9.68
"Census Tract 1212.10, Los Angeles County, California",6037121210,121210,1143,984,86.09,76.00,6.65,0.00,0.00,0.00,0.00,83.00,7.26
"Census Tract 1212.21, Los Angeles County, California",6037121221,121221,1020,919,90.10,60.00,5.88,4.00,0.39,8.00,0.78,9.00,0.88
"Census Tract 1212.22, Los Angeles County, California",6037121222,121222,2029,1536,75.70,337.00,16.61,19.00,0.94,22.00,1.08,98.00,4.83
"Census Tract 1216, Los Angeles County, California",6037121600,121600,1340,1172,87.46,86.00,6.42,0.00,0.00,5.00,0.37,42.00,3.13
"Census Tract 1218.01, Los Angeles County, California",6037121801,121801,1554,1376,88.55,109.00,7.01,0.00,0.00,38.00,2.45,31.00,1.99
"Census Tract 1218.02, Los Angeles County, California",6037121802,121802,1379,1180,85.57,123.00,8.92,10.00,0.73,6.00,0.44,52.00,3.77
"Census Tract 1219, Los Angeles County, California",6037121900,121900,2071,1831,88.41,131.00,6.33,0.00,0.00,43.00,2.08,41.00,1.98
"Census Tract 1220, Los Angeles County, California",6037122000,122000,2767,2576,93.10,73.00,2.64,11.00,0.40,52.00,1.88,55.00,1.99
"Census Tract 1221.20, Los Angeles County, California",6037122120,122120,2022,1827,90.36,86.00,4.25,18.00,0.89,10.00,0.49,74.00,3.66
"Census Tract 1221.21, Los Angeles County, California",6037122121,122121,1237,1020,82.46,129.00,10.43,12.00,0.97,34.00,2.75,42.00,3.40
"Census Tract 1221.22, Los Angeles County, California",6037122122,122122,752,621,82.58,98.00,13.03,0.00,0.00,30.00,3.99,3.00,0.40
"Census Tract 1222, Los Angeles County, California",6037122200,122200,1905,1644,86.30,106.00,5.56,8.00,0.42,87.00,4.57,55.00,2.89
"Census Tract 1224.10, Los Angeles County, California",6037122410,122410,1422,1252,88.05,97.00,6.82,9.00,0.63,37.00,2.60,27.00,1.90
"Census Tract 1224.20, Los Angeles County, California",6037122420,122420,2079,1687,81.14,167.00,8.03,45.00,2.16,29.00,1.39,85.00,4.09
"Census Tract 1230.10, Los Angeles County, California",6037123010,123010,1677,1194,71.20,285.00,16.99,22.00,1.31,97.00,5.78,34.00,2.03
"Census Tract 1230.20, Los Angeles County, California",6037123020,123020,1618,1337,82.63,165.00,10.20,0.00,0.00,3.00,0.19,70.00,4.33
"Census Tract 1231.03, Los Angeles County, California",6037123103,123103,1810,1478,81.66,176.00,9.72,63.00,3.48,0.00,0.00,78.00,4.31
"Census Tract 1231.04, Los Angeles County, California",6037123104,123104,2144,1645,76.73,84.00,3.92,43.00,2.01,80.00,3.73,132.00,6.16
"Census Tract 1232.03, Los Angeles County, California",6037123203,123203,1547,1221,78.93,177.00,11.44,55.00,3.56,24.00,1.55,26.00,1.68
"Census Tract 1232.04, Los Angeles County, California",6037123204,123204,1496,1167,78.01,164.00,10.96,0.00,0.00,40.00,2.67,103.00,6.89
"Census Tract 1232.05, Los Angeles County, California",6037123205,123205,1274,1013,79.51,144.00,11.30,4.00,0.31,4.00,0.31,71.00,5.57
"Census Tract 1232.06, Los Angeles County, California",6037123206,123206,1311,1046,79.79,192.00,14.65,0.00,0.00,16.00,1.22,57.00,4.35
"Census Tract 1233.01, Los Angeles County, California",6037123301,123301,2345,2042,87.08,129.00,5.50,26.00,1.11,90.00,3.84,58.00,2.47
"Census Tract 1233.03, Los Angeles County, California",6037123303,123303,1325,1132,85.43,51.00,3.85,5.00,0.38,60.00,4.53,56.00,4.23
"Census Tract 1233.04, Los Angeles County, California",6037123304,123304,1763,1550,87.92,80.00,4.54,14.00,0.79,47.00,2.67,43.00,2.44
"Census Tract 1234.10, Los Angeles County, California",6037123410,123410,2066,1609,77.88,169.00,8.18,53.00,2.57,121.00,5.86,31.00,1.50
"Census Tract 1234.20, Los Angeles County, California",6037123420,123420,2038,1730,84.89,127.00,6.23,0.00,0.00,47.00,2.31,95.00,4.66
"Census Tract 1235.10, Los Angeles County, California",6037123510,123510,2332,1883,80.75,206.00,8.83,0.00,0.00,17.00,0.73,166.00,7.12
"Census Tract 1235.20, Los Angeles County, California",6037123520,123520,1075,843,78.42,87.00,8.09,0.00,0.00,43.00,4.00,62.00,5.77
"Census Tract 1236.01, Los Angeles County, California",6037123601,123601,2743,2234,81.44,229.00,8.35,0.00,0.00,41.00,1.49,132.00,4.81
